Header,Value
Agency Name,Hydro Tasmania
Agency Code,HT
Program,Arthurs Lake WQ
Project,ALWQ
Tag,HT-ALWQ
Data File Name,WQSamples.csv
Location,data-lake/HT/Hydrology/Arthurs Lake Spillway (418.1)/WQ at Morass Bay (418.24)/Samples/
Station Status,Active
Lat,-41.985227
Long,146.992343
Time Zone,GMT +6
Vertical Datum,mAHD
National Station ID,418
Site Description,418
Deployment,Profile
Deployment Position,m from Surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00609
Data Category,Ecology (Planktonic)
Sampling Rate (min),
Date,dd-mm-yyyy HH:MM
Depth,Decimal
Variable,Bacillariophyta (Achnanthes sp.)
QC,int
