Variable,Date,Depth,Data,QC
Chromium - Total/NonFilt as Cr,17/06/2008 14:50,0.2,0.001,11
Chromium - Total/NonFilt as Cr,14/05/2008 11:25,0.2,0.001,11
Chromium - Total/NonFilt as Cr,16/04/2008 14:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,13/03/2008 13:30,0.2,0.001,11
Chromium - Total/NonFilt as Cr,15/02/2008 13:30,0.2,0.001,11
Chromium - Total/NonFilt as Cr,14/01/2008 12:30,0.2,0.001,11
Chromium - Total/NonFilt as Cr,13/12/2007 14:30,0.2,0.001,11
Chromium - Total/NonFilt as Cr,15/11/2007 12:50,0.2,0.001,11
Chromium - Total/NonFilt as Cr,21/08/2007 13:08,0.2,0.001,11
Chromium - Total/NonFilt as Cr,12/07/2007 13:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,26/06/2007 0:00,0.2,0.001,21
Chromium - Total/NonFilt as Cr,20/09/2007 0:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,6/08/2007 0:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,26/07/2007 0:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,16/10/2007 0:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,12/07/2007 13:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,26/06/2007 0:00,0.2,0.001,21
Chromium - Total/NonFilt as Cr,6/08/2007 0:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,26/07/2007 0:00,0.2,0.001,11
Chromium - Total/NonFilt as Cr,30/05/2007 12:45,0.2,0.001,11
Chromium - Total/NonFilt as Cr,15/05/2007 11:45,0.2,0.001,11
Chromium - Total/NonFilt as Cr,1/05/2007 16:20,0.2,0.001,11
Chromium - Total/NonFilt as Cr,17/11/2004 10:10,0,0.001,11
Chromium - Total/NonFilt as Cr,7/09/2004 10:10,0,0.001,11
Chromium - Total/NonFilt as Cr,13/07/2004 0:00,0,0.001,11
Chromium - Total/NonFilt as Cr,14/05/2003 9:10,0,0.001,11
Chromium - Total/NonFilt as Cr,3/03/2003 9:30,0,0.001,11
Chromium - Total/NonFilt as Cr,20/01/2003 9:05,0,0.001,11
Chromium - Total/NonFilt as Cr,27/11/2002 13:15,0,0.001,11
Chromium - Total/NonFilt as Cr,11/09/2002 13:30,,0.001,11
Chromium - Total/NonFilt as Cr,30/07/2002 9:15,,0.001,11
Chromium - Total/NonFilt as Cr,11/05/2001 12:00,,0.001,29
Chromium - Total/NonFilt as Cr,20/03/2001 12:00,,0.001,29
Chromium - Total/NonFilt as Cr,20/03/2001 12:00,,0.002,29
Chromium - Total/NonFilt as Cr,22/01/2001 12:00,,0.001,29
Chromium - Total/NonFilt as Cr,20/11/2000 12:00,,,140
Chromium - Total/NonFilt as Cr,18/09/2000 12:00,,0.004,11
Chromium - Total/NonFilt as Cr,4/05/1999 12:00,,0.001,21
Chromium - Total/NonFilt as Cr,10/03/1999 12:00,,0.001,21
Chromium - Total/NonFilt as Cr,12/01/1999 12:00,,0.001,21
Chromium - Total/NonFilt as Cr,24/11/1998 12:00,,0.001,21
Chromium - Total/NonFilt as Cr,15/09/1998 12:00,,0.001,21
