Header,Value
Agency Name,Hydro Tasmania
Agency Code,HT
Program,Woods Lake WQ
Project,WLWQ
Tag,HT-WLWQ
Data File Name,462.5_WoodsLakeMiddle_AllData.csv
Location,data-lake/HT/WaterQuality/
Station Status,Active
Lat,-42.080562
Long,147.004210
Time Zone,GMT +6
Vertical Datum,mAHD
National Station ID,462
Site Description,462
Deployment,Profile
Deployment Position,m from Surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00677
Data Category,Ecology (Planktonic)
Sampling Rate (min),
Date,dd-mm-yyyy HH:MM
Depth,Decimal
Variable,Chlorophyta (Volvox sp.)
QC,int
